date,Code Insee Region,Superficie (km2),Population (2021),Densité (2021) (hab./km2),retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,TMin (°C),TMax (°C),TMoy (°C), pm25, pm10, o3, no2,Vaccination,Cas epidemiques
02/04/2022,24,39151,2573303,65.7,-14,14,12,0,-3,3,-4.4,11.57,3.58,36,17,30,19,596,1713
03/04/2022,24,39151,2573303,65.7,1,22,48,10,-2,2,5.88,11.77,8.83,37,9,29,14,23,1725
04/04/2022,24,39151,2573303,65.7,-14,22,45,1,-12,4,7.62,12.12,9.87,22,8,29,17,945,1751
05/04/2022,24,39151,2573303,65.7,-11,23,45,2,-11,4,9.57,14.87,12.22,20,14,32,21,1945,1755
06/04/2022,24,39151,2573303,65.7,-14,20,38,-1,-11,4,7.32,15.25,11.28,36,15,35,22,1487,1751
07/04/2022,24,39151,2573303,65.7,-16,19,21,-3,-11,5,1.84,12.44,7.14,54,11,31,18,1907,1740
08/04/2022,24,39151,2573303,65.7,-16,13,12,3,-13,7,-1.58,14.83,6.63,30,18,29,16,2282,1701
09/04/2022,24,39151,2573303,65.7,-11,14,25,28,-3,2,3.42,21.97,12.69,42,17,27,13,682,1721
10/04/2022,24,39151,2573303,65.7,33,42,104,33,8,-2,8.62,19.57,14.09,47,13,33,10,89,1733
11/04/2022,24,39151,2573303,65.7,-7,23,86,1,-27,6,10.77,16.77,13.77,42,12,35,11,964,1781
12/04/2022,24,39151,2573303,65.7,-8,23,85,0,-27,6,8.8,21.03,14.92,36,16,38,6,2021,1877
13/04/2022,24,39151,2573303,65.7,-11,18,66,-1,-24,5,6.9,21.97,14.43,42,8,35,5,1453,1923
14/04/2022,24,39151,2573303,65.7,-8,23,90,5,-28,5,7.38,21,14.19,23,11,32,5,1635,2036
15/04/2022,24,39151,2573303,65.7,-10,19,93,28,-32,6,4.62,21.45,13.03,35,13,32,6,1845,2083
16/04/2022,24,39151,2573303,65.7,-14,15,98,57,-12,-1,3.72,19.55,11.63,31,19,34,7,450,2076
17/04/2022,24,39151,2573303,65.7,20,41,191,11,-3,-5,7.3,16.52,11.91,45,16,44,9,25,2102
18/04/2022,24,39151,2573303,65.7,-26,-32,189,8,-84,14,6.68,19.48,13.08,34,15,39,8,34,2102
19/04/2022,24,39151,2573303,65.7,-8,29,104,15,-34,6,5.63,19.83,12.73,38,13,31,6,1472,2129
20/04/2022,24,39151,2573303,65.7,-11,18,101,7,-29,5,4.68,20.57,12.62,41,11,30,6,1449,2154
21/04/2022,24,39151,2573303,65.7,-8,21,105,1,-31,5,9.6,20.12,14.86,34,33,25,10,1717,2134
22/04/2022,24,39151,2573303,65.7,-11,14,89,8,-31,7,9.62,18.25,13.93,75,17,37,7,2009,2150
23/04/2022,24,39151,2573303,65.7,-14,11,40,52,-5,2,9.55,15.03,12.29,49,17,37,6,567,2089
24/04/2022,24,39151,2573303,65.7,27,44,83,64,9,0,3.87,16.98,10.42,48,15,36,7,68,2101
25/04/2022,24,39151,2573303,65.7,-7,25,70,14,-13,5,4.48,19.35,11.92,46,21,43,10,923,2110
26/04/2022,24,39151,2573303,65.7,-3,26,104,14,-10,3,7.4,21.35,14.38,52,25,37,5,2123,2027
27/04/2022,24,39151,2573303,65.7,-4,24,100,14,-10,3,8.68,20.73,14.71,56,16,38,5,1779,1999
28/04/2022,24,39151,2573303,65.7,-4,26,87,10,-10,2,6.07,18.07,12.07,41,20,39,7,2176,1979
29/04/2022,24,39151,2573303,65.7,-1,23,86,19,-11,3,4.33,17.9,11.12,51,23,35,7,2444,1957
30/04/2022,24,39151,2573303,65.7,-4,20,78,51,1,0,5.65,19.05,12.35,58,19,28,7,643,1934
01/05/2022,24,39151,2573303,65.7,20,-9,176,48,-2,-2,7.5,20.15,13.83,56,12,28,7,36,1936
02/05/2022,24,39151,2573303,65.7,0,32,95,16,-12,3,10.28,17.57,13.92,39,17,34,8,847,1878
03/05/2022,24,39151,2573303,65.7,0,29,101,14,-9,2,5.95,20.1,13.02,40,12,32,5,1839,1886
04/05/2022,24,39151,2573303,65.7,-1,25,84,12,-9,2,5.95,21.75,13.85,42,18,41,11,1219,1864
05/05/2022,24,39151,2573303,65.7,0,27,86,11,-8,2,8.77,22.1,15.43,47,20,42,14,1935,1810
06/05/2022,24,39151,2573303,65.7,1,22,96,17,-9,2,8.33,22.77,15.55,45,17,34,8,2174,1810
07/05/2022,24,39151,2573303,65.7,-2,14,82,52,1,-1,8.43,26.25,17.34,32,14,30,8,461,1797
08/05/2022,24,39151,2573303,65.7,24,37,151,60,8,-3,9.92,27.87,18.89,27,15,35,8,63,1779
09/05/2022,24,39151,2573303,65.7,-1,25,87,12,-11,2,10.7,26.25,18.48,26,14,36,7,891,1720
10/05/2022,24,39151,2573303,65.7,0,27,100,12,-9,1,10.07,21.13,15.6,31,17,36,8,2167,1727
11/05/2022,24,39151,2573303,65.7,-3,23,96,11,-10,1,10.45,23.12,16.78,39,15,30,7,1594,1694
12/05/2022,24,39151,2573303,65.7,-4,23,74,9,-9,1,8.12,25.43,16.78,36,15,33,11,1883,1684
13/05/2022,24,39151,2573303,65.7,-2,21,85,15,-10,1,12.2,30.7,21.45,26,13,30,9,2272,1675
14/05/2022,24,39151,2573303,65.7,-7,12,81,26,1,-2,15.8,26.83,21.32,26,16,34,9,748,1659
15/05/2022,24,39151,2573303,65.7,16,35,117,46,5,-3,13.25,30.35,21.8,31,19,28,8,55,1661
16/05/2022,24,39151,2573303,65.7,-3,25,88,13,-11,2,13.47,29.85,21.66,41,10,37,5,935,1617
17/05/2022,24,39151,2573303,65.7,-4,24,108,11,-9,2,17.55,27.52,22.53,31,12,31,4,1986,1576
18/05/2022,24,39151,2573303,65.7,-6,21,95,11,-10,2,15.23,26.53,20.88,29,12,24,7,1436,1534
19/05/2022,24,39151,2573303,65.7,-6,22,81,8,-8,1,9.78,26.93,18.36,27,12,30,7,1866,1546
20/05/2022,24,39151,2573303,65.7,-5,16,87,15,-11,2,14.82,27.25,21.03,21,12,31,7,1924,1512
21/05/2022,24,39151,2573303,65.7,-7,10,102,40,2,-2,15.37,19.65,17.51,25,9,29,3,615,1504
22/05/2022,24,39151,2573303,65.7,15,29,131,43,6,-2,10.27,19.08,14.68,19,10,22,4,40,1510
23/05/2022,24,39151,2573303,65.7,-6,19,66,9,-14,4,6.65,21.17,13.91,24,14,38,4,932,1487
24/05/2022,24,39151,2573303,65.7,0,25,98,17,-13,3,12.73,21.62,17.18,31,11,33,3,2100,1488
25/05/2022,24,39151,2573303,65.7,7,37,123,68,-16,-3,11.2,20.4,15.8,25,10,36,5,1253,1411
26/05/2022,24,39151,2573303,65.7,-14,-16,218,24,-80,14,8.23,21.57,14.9,25,14,40,10,30,1399
27/05/2022,24,39151,2573303,65.7,1,26,180,-14,-57,12,7.53,17.8,12.67,29,13,42,8,1232,1389
28/05/2022,24,39151,2573303,65.7,-11,5,137,33,-8,-1,6.43,20.87,13.65,27,14,35,5,438,1381
29/05/2022,24,39151,2573303,65.7,31,41,131,131,9,-7,6.68,23.62,15.15,28,13,37,7,36,1383
30/05/2022,24,39151,2573303,65.7,-1,28,90,26,-12,2,7.3,24.4,15.85,34,15,31,7,1014,1342
31/05/2022,24,39151,2573303,65.7,0,27,104,18,-9,2,11.67,27,19.33,36,15,32,3,1947,1356
01/06/2022,24,39151,2573303,65.7,-1,26,100,15,-8,1,14.37,26.63,20.5,32,10,27,4,1230,1334
02/06/2022,24,39151,2573303,65.7,-2,27,86,15,-7,1,15.93,28.63,22.28,20,18,26,6,1909,1314
03/06/2022,24,39151,2573303,65.7,-1,22,89,36,-10,1,15.98,22.62,19.3,25,12,26,5,2479,1308
04/06/2022,24,39151,2573303,65.7,-5,14,94,52,-2,-1,12.6,21.67,17.13,27,17,26,7,463,1332
05/06/2022,24,39151,2573303,65.7,34,43,183,19,4,-4,14.03,23.17,18.6,39,14,26,7,27,1336
06/06/2022,24,39151,2573303,65.7,-11,-13,144,16,-77,15,13.45,22.63,18.04,32,12,28,6,50,1324
07/06/2022,24,39151,2573303,65.7,2,35,97,28,-9,1,12.25,21.73,16.99,25,13,30,2,1968,1308
08/06/2022,24,39151,2573303,65.7,-3,24,76,13,-9,2,11.55,25.58,18.57,28,13,35,4,1488,1320
09/06/2022,24,39151,2573303,65.7,-2,24,82,11,-8,1,11.62,28.62,20.12,30,13,27,6,2053,1294
10/06/2022,24,39151,2573303,65.7,-1,18,96,18,-9,1,14.15,25.17,19.66,31,18,38,7,2537,1284
11/06/2022,24,39151,2573303,65.7,-7,11,92,32,4,-2,10.1,24.98,17.54,42,21,56,7,851,1314
12/06/2022,24,39151,2573303,65.7,29,46,131,48,16,-3,10.5,28.45,19.47,46,22,57,11,115,1316
13/06/2022,24,39151,2573303,65.7,0,28,103,15,-11,2,14.23,33.23,23.73,48,37,42,13,908,1290
14/06/2022,24,39151,2573303,65.7,0,26,118,17,-9,2,15.08,31.37,23.22,60,34,41,4,2636,1288
15/06/2022,24,39151,2573303,65.7,-5,23,104,15,-9,2,15.43,35.25,25.34,57, ,39,5,1510,1270
16/06/2022,24,39151,2573303,65.7,-5,27,93,16,-9,2,17,38.6,27.8,49, ,35,5,2035,1270
17/06/2022,24,39151,2573303,65.7,-7,19,100,19,-12,3,16.9,32.37,24.63,31,16,28,10,2750,1247
18/06/2022,24,39151,2573303,65.7,-17,10,81,32,1,0,17.4,25.42,21.41,37,17,35,11,861,1223
19/06/2022,24,39151,2573303,65.7,23,46,111,47,14,-2,15.32,27.33,21.33,34,15,33,9,37,1219
20/06/2022,24,39151,2573303,65.7,-2,24,95,18,-13,3,17.18,25.37,21.28,31,9,22,8,1245,1249
21/06/2022,24,39151,2573303,65.7,10,22,157,22,-10,1,14.57,27.23,20.9,19,14,29,6,2884,1283
22/06/2022,24,39151,2573303,65.7,-4,21,80,16,-11,2,15.37,23.82,19.59,25,12,33,6,1831,1245
23/06/2022,24,39151,2573303,65.7,-4,23,89,14,-10,2,14.85,17.92,16.38,20,14,33,7,2992,1253
24/06/2022,24,39151,2573303,65.7,-4,17,89,20,-12,2,11.48,20.32,15.9,19,11,26,7,3733,1243
25/06/2022,24,39151,2573303,65.7,-10,8,50,39,1,0,12.47,23.55,18.01,24,11,27,9,887,1231
26/06/2022,24,39151,2573303,65.7,16,29,116,49,9,-2,9.07,25.62,17.34,19,11,29,10,101,1233
27/06/2022,24,39151,2573303,65.7,-1,28,101,21,-13,3,10.17,25.82,17.99,21,12,34,10,1711,1235
28/06/2022,24,39151,2573303,65.7,1,28,145,18,-12,1,12.6,18.38,15.49,21,11,29,3,4432,1230
29/06/2022,24,39151,2573303,65.7,-2,26,108,19,-12,2,9.02,22.27,15.64,22,14,34,5,3300,1224
30/06/2022,24,39151,2573303,65.7,-2,29,64,16,-12,3,8.63,27.37,18,23,14,33,4,4693,1218
01/07/2022,24,39151,2573303,65.7,1,23,103,29,-13,2,11.38,25.78,18.58,20,15,38,5,5715,1229
02/07/2022,24,39151,2573303,65.7,-5,15,106,69,1,-3,11.73,26.98,19.36,28,13,26,4,1670,1249
03/07/2022,24,39151,2573303,65.7,21,45,152,63,8,-3,11.4,26.53,18.97,21,17,41,6,188,1257
04/07/2022,24,39151,2573303,65.7,3,34,115,22,-17,3,12.63,26.3,19.47,27,18,44,6,3205,1326
05/07/2022,24,39151,2573303,65.7,7,34,134,23,-15,2,12.87,24.85,18.86,32,14,32,3,6449,1344
06/07/2022,24,39151,2573303,65.7,3,30,119,17,-15,1,11.12,27.18,19.15,25,13,28,4,4774,1426
07/07/2022,24,39151,2573303,65.7,0,29,107,25,-15,2,13.02,29.52,21.27,18,15,40,8,5980,1449
08/07/2022,24,39151,2573303,65.7,-2,22,124,41,-21,3,14.35,27.6,20.98,21,19,62,17,7175,1519
09/07/2022,24,39151,2573303,65.7,-12,12,112,97,-3,-2,14.52,30.3,22.41,36,15,43,6,2004,1542
10/07/2022,24,39151,2573303,65.7,14,43,156,84,3,-3,15.03,32.85,23.94,33,20,45,6,355,1548
11/07/2022,24,39151,2573303,65.7,4,34,148,27,-26,4,14.25,34.7,24.48,28,17,46,6,3427,1598
12/07/2022,24,39151,2573303,65.7,1,31,157,25,-25,4,15.65,33.53,24.59,28,14,43,5,6577,1659
13/07/2022,24,39151,2573303,65.7,7,38,220,52,-23,-3,15.15,28.62,21.88,28,22,48,10,4610,1643
14/07/2022,24,39151,2573303,65.7,-23,-22,241,11,-81,15,12.72,29.8,21.26,38,32,45,9,178,1673
15/07/2022,24,39151,2573303,65.7,-9,21,172,17,-54,11,13.73,32.62,23.18,55,15,35,7,4313,1675
16/07/2022,24,39151,2573303,65.7,-17,4,130,107,-10,-1,15.63,38.45,27.04,31,17,43,8,1479,1675
17/07/2022,24,39151,2573303,65.7,11,35,142,132,3,-3,18.5,36.07,27.28,40,22,37,10,154,1679
18/07/2022,24,39151,2573303,65.7,-9,24,126,28,-32,9,17.5,25.87,21.68,49,15,39,6,2870,1728
19/07/2022,24,39151,2573303,65.7,-9,21,135,18,-30,14,15.7,28.12,21.91,30,12,40,11,5514,1742
20/07/2022,24,39151,2573303,65.7,-9,19,122,23,-25,4,15.77,25.8,20.78,33,14,30,4,4046,1792
21/07/2022,24,39151,2573303,65.7,-6,20,134,22,-27,4,17.78,27.78,22.78,26,12,30,5,4685,1810
22/07/2022,24,39151,2573303,65.7,-10,12,120,33,-28,6,13.7,32.95,23.33,15,13,42,9,4360,1798
23/07/2022,24,39151,2573303,65.7,-15,5,115,115,-5,-1,18.4,26.65,22.52,21,16,47,10,1415,1816
24/07/2022,24,39151,2573303,65.7,4,27,140,79,2,-1,14.65,24.37,19.51,26,18,44,18,263,1814
25/07/2022,24,39151,2573303,65.7,-3,24,148,25,-32,7,13.7,26.47,20.08,30,18,44,8,2180,1840
26/07/2022,24,39151,2573303,65.7,-1,22,184,19,-30,6,13.17,28.25,20.71,33,10,34,4,4250,1869
27/07/2022,24,39151,2573303,65.7,-5,19,172,24,-26,3,15.35,28.98,22.17,15,10,26,4,3117,1825
28/07/2022,24,39151,2573303,65.7,-1,24,154,27,-29,5,14.75,31.32,23.03,12,11,32,7,3529,1811
29/07/2022,24,39151,2573303,65.7,-4,17,141,54,-31,6,15.15,29.07,22.11,15,14,38,14,3728,1791
30/07/2022,24,39151,2573303,65.7,-13,9,118,149,-8,-1,14.85,32.48,23.67,23,17,34,6,873,1803
31/07/2022,24,39151,2573303,65.7,18,43,169,124,6,-3,16.4,36.4,26.4,25,15,41,5,122,1811
01/08/2022,24,39151,2573303,65.7,4,32,178,40,-41,7,20.17,31.65,25.91,19,13,39,5,1450,1801
02/08/2022,24,39151,2573303,65.7,0,27,192,22,-40,7,16.38,27.6,21.99,14,13,44,5,2895,1774
03/08/2022,24,39151,2573303,65.7,-10,17,162,22,-37,6,13.67,26.55,20.11,22,15,51,6,1988,1773
04/08/2022,24,39151,2573303,65.7,-6,23,149,19,-40,7,13.28,28.17,20.72,26,20,58,6,2265,1765
05/08/2022,24,39151,2573303,65.7,-6,16,159,40,-41,7,14.53,30.58,22.56,27,20,53,6,2735,1733
06/08/2022,24,39151,2573303,65.7,-14,6,127,138,-13,-2,15.93,32.47,24.2,33,21,53,6,572,1709
07/08/2022,24,39151,2573303,65.7,18,40,179,96,2,-3,16.48,33.32,24.9,32,23,63,10,40,1705
08/08/2022,24,39151,2573303,65.7,1,29,189,27,-49,8,16.05,33.67,24.86,34,19,62,11,1089,1725
09/08/2022,24,39151,2573303,65.7,-3,24,210,17,-48,8,14.62,35.15,24.88,31,20,44,5,2136,1667
10/08/2022,24,39151,2573303,65.7,-10,17,197,22,-45,6,14.77,35,24.88,42,18,48,5,1572,1630
11/08/2022,24,39151,2573303,65.7,-9,20,175,18,-48,8,18.33,26.72,22.52,39,20,39,12,1630,1600
12/08/2022,24,39151,2573303,65.7,-16,10,157,40,-49,9,16.2,26.35,21.28,49,14,34,10,1813,1567
13/08/2022,24,39151,2573303,65.7,-22,2,125,142,-16,-1,15.7,26.48,21.09,24,11,37,7,398,1563
14/08/2022,24,39151,2573303,65.7,19,40,172,101,0,-1,15.85,26.57,21.21,20,9,24,5,22,1567
15/08/2022,24,39151,2573303,65.7,-17,-22,237,18,-83,17,13.52,28.12,20.82,18,11,31,8,30,1567
16/08/2022,24,39151,2573303,65.7,0,36,189,43,-49,10,14.87,26.17,20.52,18,10,25,4,1140,1597
17/08/2022,24,39151,2573303,65.7,-7,21,187,31,-44,9,14.7,26.18,20.44,21,8,23,7,1292,1566
18/08/2022,24,39151,2573303,65.7,-6,22,189,25,-46,10,11.85,25.55,18.7,14,8,22,7,1496,1514
19/08/2022,24,39151,2573303,65.7,-14,10,143,35,-46,13,17.05,26.12,21.58,11,11,35,12,1503,1494
20/08/2022,24,39151,2573303,65.7,-17,2,124,131,-13,1,16.42,28.02,22.22,17,15,31,10,352,1485
21/08/2022,24,39151,2573303,65.7,12,34,157,103,4,-1,15.55,33.42,24.48,28,9,32,5,104,1487
22/08/2022,24,39151,2573303,65.7,-1,27,164,31,-38,9,15.02,31.48,23.25,18,13,42,8,716,1451
23/08/2022,24,39151,2573303,65.7,-2,23,185,26,-36,10,16.48,27.03,21.76,21,13,40,6,1643,1440
24/08/2022,24,39151,2573303,65.7,-9,15,169,27,-32,7,13.78,27.95,20.87,25,17,46,9,972,1426
25/08/2022,24,39151,2573303,65.7,-7,20,144,26,-34,9,12.67,28.32,20.49,29,15,46,9,1363,1370
26/08/2022,24,39151,2573303,65.7,-8,13,139,38,-34,9,14.5,32.37,23.43,31,21,56,10,1683,1323
27/08/2022,24,39151,2573303,65.7,-12,5,117,113,-8,0,16.73,26.4,21.57,38,23,57,9,385,1311
28/08/2022,24,39151,2573303,65.7,21,36,176,98,8,-2,15.32,29.37,22.34,39,13,35,11,37,1315
29/08/2022,24,39151,2573303,65.7,4,29,126,35,-26,7,15.68,24.75,20.22,30,14,38,8,734,1307
30/08/2022,24,39151,2573303,65.7,4,28,118,29,-23,6,15.63,25.95,20.79,20,13,38,9,1610,1290
31/08/2022,24,39151,2573303,65.7,-2,21,106,25,-19,4,12.13,30.45,21.29,21,16,43,10,946,1262
01/09/2022,24,39151,2573303,65.7,0,30,87,17,-23,4,15.13,31,23.07,29,17,35,9,1343,1265
02/09/2022,24,39151,2573303,65.7,-4,19,78,16,-21,5,13.65,29.03,21.34,25,13,27,11,1644,1223
03/09/2022,24,39151,2573303,65.7,-3,14,111,59,-3,-1,14.25,22.3,18.28,22,13,24,8,509,1215
04/09/2022,24,39151,2573303,65.7,24,36,166,70,8,-2,13.8,22.83,18.32,22,13,34,6,25,1211
05/09/2022,24,39151,2573303,65.7,-1,25,102,21,-20,3,14.88,22.58,18.73,22,11,38,8,852,1217
06/09/2022,24,39151,2573303,65.7,0,25,123,22,-18,2,13.47,22.32,17.89,17,8,29,6,1915,1215
07/09/2022,24,39151,2573303,65.7,-4,21,99,17,-17,2,9.93,25.42,17.68,15,10,24,8,864,1201
08/09/2022,24,39151,2573303,65.7,-4,21,91,17,-17,2,12.23,31.72,21.98,12,18,27,13,1523,1161
09/09/2022,24,39151,2573303,65.7,-4,15,96,22,-18,2,18.5,30.17,24.33,31,18,24,11,1700,1139
10/09/2022,24,39151,2573303,65.7,-4,11,96,48,-1,-1,17.17,26.13,21.65,42,13,27,6,294,1153
11/09/2022,24,39151,2573303,65.7,21,32,174,56,9,-3,16.2,23.35,19.78,19,14,25,6,23,1157
12/09/2022,24,39151,2573303,65.7,-1,22,108,23,-17,2,11.8,19.87,15.83,24,11,43,4,703,1165
13/09/2022,24,39151,2573303,65.7,-2,21,110,22,-17,2,5.7,17.87,11.78,16,11,28,8,1321,1156
14/09/2022,24,39151,2573303,65.7,-5,19,95,20,-16,2,3.47,20.1,11.78,19,12,27,6,855,1154
15/09/2022,24,39151,2573303,65.7,-3,22,92,20,-15,1,5.92,19.75,12.83,15,14,29,6,1452,1158
16/09/2022,24,39151,2573303,65.7,-3,17,92,25,-16,2,5.32,19.85,12.58,17,14,29,7,1665,1144
17/09/2022,24,39151,2573303,65.7,-3,12,104,49,1,-1,7.28,20.57,13.92,17,16,38,13,431,1146
18/09/2022,24,39151,2573303,65.7,24,37,178,58,9,-2,5.1,22.27,13.68,26,21,33,20,56,1144
19/09/2022,24,39151,2573303,65.7,-2,22,96,25,-16,2,7.18,21.47,14.32,35,13,29,7,650,1136
20/09/2022,24,39151,2573303,65.7,-1,23,108,22,-14,2,10.43,19.17,14.8,22,10,27,4,1394,1170
21/09/2022,24,39151,2573303,65.7,-4,21,100,19,-13,2,11.75,18.7,15.22,20,11,27,7,895,1160
22/09/2022,24,39151,2573303,65.7,-4,21,90,15,-13,2,8.1,15.83,11.97,20,12,27,6,1457,1166
23/09/2022,24,39151,2573303,65.7,-5,17,86,22,-13,3,9.5,16.55,13.02,24,14,24,6,1699,1136
24/09/2022,24,39151,2573303,65.7,-6,12,70,37,-1,1,11.45,14.4,12.92,28,14,17,9,430,1134
25/09/2022,24,39151,2573303,65.7,13,29,110,50,6,0,8.92,15.58,12.25,27,17,26,13,53,1120
26/09/2022,24,39151,2573303,65.7,-6,20,68,15,-13,3,3.98,17.52,10.75,39,5,23,4,740,1147
27/09/2022,24,39151,2573303,65.7,-4,22,84,16,-11,3,11.6,20.42,16.01,11,9,28,6,1432,1254
28/09/2022,24,39151,2573303,65.7,-5,21,63,16,-11,3,15.37,20.57,17.97,20,9,21,6,827,1290
29/09/2022,24,39151,2573303,65.7,-3,24,65,8,-12,3,11.98,16.95,14.47,18,13,25,12,1171,1310
30/09/2022,24,39151,2573303,65.7,-1,20,76,22,-11,2,5.62,20.52,13.07,30,18,31,9,1571,1338
01/10/2022,24,39151,2573303,65.7,-3,17,41,28,-1,1,9.22,23.53,16.38,28,16,23,10,345,1340
02/10/2022,24,39151,2573303,65.7,13,29,78,37,6,1,8.67,19.43,14.05,23,20,25,15,41,1342
03/10/2022,24,39151,2573303,65.7,-1,25,77,20,-10,3,5.5,20.55,13.02,38,18,25,10,586,1404
04/10/2022,24,39151,2573303,65.7,0,26,96,20,-9,2,5.97,19.07,12.52,36,21,25,8,1437,1565
05/10/2022,24,39151,2573303,65.7,-1,25,88,18,-8,2,4.32,21.23,12.78,36,35,28,11,791,1654
06/10/2022,24,39151,2573303,65.7,-1,28,77,17,-7,1,9.73,20.38,15.06,58,22,17,6,1276,1666
07/10/2022,24,39151,2573303,65.7,-1,23,77,22,-9,2,11.4,18.08,14.74,43,25,21,13,1921,1733
08/10/2022,24,39151,2573303,65.7,-1,16,69,30,1,0,7.18,19.73,13.46,51,18,20,12,501,1729
09/10/2022,24,39151,2573303,65.7,19,37,124,47,5,-1,10.37,16.4,13.38,38,7,18,7,64,1739
10/10/2022,24,39151,2573303,65.7,-5,27,72,20,-10,3,14.1,18.67,16.38,13,7,24,6,947,1772
11/10/2022,24,39151,2573303,65.7,-4,29,83,21,-9,2,15.72,18.37,17.04,16,14,22,8,2172,1870
12/10/2022,24,39151,2573303,65.7,-8,25,76,20,-9,2,14.08,23.9,18.99,28,15,20,13,1417,1982
13/10/2022,24,39151,2573303,65.7,-10,25,46,16,-8,3,15.47,19.45,17.46,31,11,15,4,2358,2041
14/10/2022,24,39151,2573303,65.7,-10,19,39,17,-10,5,13.87,21.88,17.88,19,22,16,7,2798,2075
15/10/2022,24,39151,2573303,65.7,-10,12,26,19,0,3,13.73,24.13,18.93,31,17,21,11,661,2097
15/02/2020,27,47784,2800194,58.6,5,2,44,53,4,0,0.48,13.93,7.21,48,7,25,4,0,0
16/02/2020,27,47784,2800194,58.6,16,11,41,29,2,-1,7.42,17.28,12.35,24,12,32,11,0,0
17/02/2020,27,47784,2800194,58.6,1,2,2,5,0,2,7.42,11.57,9.49,13,11,31,11,0,0
18/02/2020,27,47784,2800194,58.6,5,4,27,6,1,1,3.3,10.5,6.9,18,8,26,8,0,0
19/02/2020,27,47784,2800194,58.6,-2,-2,7,3,0,1,4.97,9.53,7.25,14,7,23,8,0,0
20/02/2020,27,47784,2800194,58.6,2,1,24,9,-1,0,4.5,12.58,8.54,29,10,28,12,0,0
21/02/2020,27,47784,2800194,58.6,6,2,37,28,0,0,0.43,10.6,5.52,20,8,26,11,0,0
22/02/2020,27,47784,2800194,58.6,-2,1,59,60,2,-1,-2.23,13.9,5.83,29,8,25,5,0,0
23/02/2020,27,47784,2800194,58.6,15,14,72,28,2,-2,6.03,15.98,11.01,24,10,23,8,0,0
24/02/2020,27,47784,2800194,58.6,6,5,65,1,-21,4,8.53,16.03,12.28,16,9,36,4,0,0
25/02/2020,27,47784,2800194,58.6,1,2,10,-5,-20,5,6.02,10.73,8.38,14,7,32,5,0,0
26/02/2020,27,47784,2800194,58.6,-8,-5,2,-5,-18,4,1.6,7.15,4.38,10,9,28,7,0,0
27/02/2020,27,47784,2800194,58.6,-5,-1,-13,-6,-22,6,1.02,11.32,6.17,21,12,30,13,0,0
28/02/2020,27,47784,2800194,58.6,0,2,29,1,-21,5,-1.75,10.63,4.44,24,10,32,5,0,0
29/02/2020,27,47784,2800194,58.6,-12,-3,-11,18,-6,1,6.67,14.63,10.65,16,6,33,2,0,0
01/03/2020,27,47784,2800194,58.6,7,10,-2,13,3,-1,5.98,13.3,9.64,7,7,29,14,0,0
02/03/2020,27,47784,2800194,58.6,-4,2,-17,-8,-23,6,3.22,7.88,5.55,11,11,29,13,0,0
03/03/2020,27,47784,2800194,58.6,1,5,15,-8,-21,5,1.43,8.3,4.87,18,13,29,12,0,0
04/03/2020,27,47784,2800194,58.6,-4,-1,16,-9,-17,3,0.3,9.85,5.08,32,6,32,6,0,0
05/03/2020,27,47784,2800194,58.6,-5,-1,-24,-12,-22,6,5.95,11.98,8.97,11,9,32,7,0,0
06/03/2020,27,47784,2800194,58.6,-2,0,5,-9,-21,6,4.18,8.75,6.47,15,15,34,11,0,0
07/03/2020,27,47784,2800194,58.6,-6,-1,12,3,-3,1,2.15,9.83,5.99,36,12,30,6,0,0
08/03/2020,27,47784,2800194,58.6,6,11,24,6,1,0,1.22,12.85,7.03,26,10,30,9,0,0
09/03/2020,27,47784,2800194,58.6,-3,3,5,1,0,2,5.18,11.15,8.17,19,10,22,9,0,0
10/03/2020,27,47784,2800194,58.6,-7,1,-8,-3,-1,2,4.25,11.05,7.65,25,8,20,9,0,0
11/03/2020,27,47784,2800194,58.6,-5,1,12,-1,0,1,9.42,16.57,12.99,14,9,28,7,0,0
12/03/2020,27,47784,2800194,58.6,-5,3,0,-1,-1,2,8.75,15.7,12.22,12,12,32,9,0,0
13/03/2020,27,47784,2800194,58.6,-4,15,21,0,-1,2,2.8,12.22,7.51,17,13,32,9,0,0
14/03/2020,27,47784,2800194,58.6,-19,0,20,1,-2,4,1.68,13.05,7.37,27,16,35,8,0,0
15/03/2020,27,47784,2800194,58.6,-27,32,49,-6,-2,2,1.52,17.25,9.38,36,16,28,15,0,0
16/03/2020,27,47784,2800194,58.6,-39,50,0,-10,-29,11,4.57,16.08,10.32,38,15,33,6,0,0
17/03/2020,27,47784,2800194,58.6,-64,-13,-19,-28,-47,20,7.07,18.23,12.65,32,17,27,5,0,0
18/03/2020,27,47784,2800194,58.6,-82,-49,-40,-61,-61,25,5.35,20.1,12.73,42,20,38,6,0,336
19/03/2020,27,47784,2800194,58.6,-81,-43,-44,-68,-65,29,4.3,21.03,12.67,39,22,39,8,0,434
20/03/2020,27,47784,2800194,58.6,-83,-43,-51,-76,-66,33,5.92,20.37,13.14,52,21,23,2,0,540
21/03/2020,27,47784,2800194,58.6,-89,-58,-69,-82,-54,24,5.55,13.53,9.54,53,11,30,1,0,593
22/03/2020,27,47784,2800194,58.6,-84,-70,-71,-85,-52,17,4.12,12.87,8.49,24,11,32,2,0,705
